state,population,age,age_x_population,ave_age,population_eligible,ave_age_eligible,population_eligible_white,ave_age_eligible_white,urban_population,pct_urban,pct_rural,state,hc_key,state_abbv,votes_dem2004,votes_rep2004,votes_total2004,pct_dem2004,pct_rep2004,pct_dem_rep_gap2004,pct_dem_rep_gap_abs2004,r_wins2004,winner2004,votes_dem2008,votes_rep2008,votes_total2008,pct_dem2008,pct_rep2008,pct_dem_rep_gap2008,pct_dem_rep_gap_abs2008,r_wins2008,winner2008,votes_dem2012,votes_rep2012,votes_3rd2012,votes_total2012,pct_dem2012,pct_rep2012,pct_dem_rep_gap2012,pct_dem_rep_gap_abs2012,r_wins2012,winner2012,votes_total2016,votes_dem2016,votes_rep2016,votes_lib2016,pct_dem2016,pct_rep2016,pct_dem_rep_gap2016,pct_dem_rep_gap_abs2016,r_wins2016,winner2016,r_wins_last4,white_population,pct_white,white_population_eligible,pct_white_eligible,hispanic_population,pct_hispanic,hispanic_population_eligible,pct_hispanic_eligible,native_american_population,pct_native_american,native_american_population_eligible,pct_native_american_eligible,black_population,pct_black,black_population_eligible,pct_black_eligible,pacific_islander_population,pct_pacific_islander,pacific_islander_population_eligible,pct_pacific_islander_eligible,asian_population,pct_asian,asian_population_eligible,pct_asian_eligible,two_or_more_races_population,pct_two_or_more_races,two_or_more_races_population_eligible,pct_two_or_more_races_eligible,other_population,pct_other,other_population_eligible,pct_other_eligible,ec_votes,ec_votes_per_voter,ec_representation_pct_ave,senate_representation_pct_ave
Alabama,4779667,80800,180438308,37.8,3647208,46.8,2530736,48.5,1049629.0,22.0,78.0,Alabama,us-al,AL,693933.0,1176394.0,1883449.0,36.8,62.5,-25.7,25.7,True,republican,813479.0,1266546.0,2099819.0,38.7,60.3,-21.6,21.6,True,republican,795696.0,1255925.0,"22,717",2074338.0,38.4,60.5,-22.1,22.1,True,republican,2123372.0,729547.0,1318255.0,44467.0,34.4,62.1,-27.7,27.7,True,republican,4,3204377,67.0,2530736,69.4,185599,3.9,118333,3.2,25907,0.5,19550,0.5,1244399,26.0,902240,24.7,1976,0.0,1414,0.0,52937,1.1,40229,1.1,60443,1.3,32868,0.9,4029,0.1,1838,0.1,9,2.46764100101e-06,109.0,130.0
Alaska,710229,80800,24429034,34.4,522851,43.7,356986,45.1,298695.0,42.1,57.9,Alaska,us-ak,AK,111025.0,190889.0,312598.0,35.5,61.1,-25.6,25.6,True,republican,123594.0,193841.0,326197.0,37.9,59.4,-21.5,21.5,True,republican,122640.0,164676.0,"13,179",300495.0,40.8,54.8,-14.0,14.0,True,republican,318608.0,116454.0,163387.0,18725.0,36.6,51.3,-14.7,14.7,True,republican,4,455319,64.1,356986,68.3,39249,5.5,24437,4.7,102555,14.4,69382,13.3,21949,3.1,16129,3.1,7219,1.0,4496,0.9,37459,5.3,27883,5.3,45368,6.4,22820,4.4,1111,0.2,718,0.1,3,5.73777232902e-06,253.0,908.0
Arizona,6391957,80800,235178939,36.8,4762943,46.5,3017860,50.1,4499542.0,70.4,29.6,Arizona,us-az,AZ,893524.0,1104294.0,2012585.0,44.4,54.9,-10.5,10.5,True,republican,1034707.0,1230111.0,2293475.0,45.1,53.6,-8.5,8.5,True,republican,1025232.0,1233654.0,"40,368",2299254.0,44.6,53.7,-9.1,9.1,True,republican,2573165.0,1161167.0,1252401.0,106327.0,45.1,48.7,-3.6,3.6,True,republican,4,3695612,57.8,3017860,63.4,1895139,29.6,1191193,25.0,257419,4.0,175200,3.7,239101,3.7,172249,3.6,10958,0.2,8199,0.2,170505,2.7,132313,2.8,114629,1.8,60370,1.3,8594,0.1,5559,0.1,11,2.30949646049e-06,102.0,100.0
Arkansas,2915868,80800,109832948,37.7,2204393,47.1,1708876,48.7,589879.0,20.2,79.8,Arkansas,us-ar,AR,469953.0,572898.0,1054945.0,44.5,54.3,-9.8,9.8,True,republican,422310.0,638017.0,1086617.0,38.9,58.7,-19.8,19.8,True,republican,394409.0,647744.0,"27,315",1069468.0,36.9,60.6,-23.7,23.7,True,republican,1130635.0,380494.0,684872.0,29829.0,33.7,60.6,-26.9,26.9,True,republican,4,2173438,74.5,1708876,77.5,186047,6.4,111091,5.0,20183,0.7,14876,0.7,447087,15.3,313872,14.2,5509,0.2,3171,0.1,35646,1.2,26789,1.2,45837,1.6,24686,1.1,2121,0.1,1032,0.0,6,2.72183771224e-06,120.0,215.0
California,37253435,80800,1340819051,36.0,27958395,45.1,12409585,49.4,24822460.0,66.6,33.4,California,us-ca,CA,6745485.0,5509826.0,12421852.0,54.3,44.4,9.9,9.9,False,democrat,8274473.0,5011781.0,13561900.0,61.0,37.0,24.0,24.0,False,democrat,7854285.0,4839958.0,"344,304",13038547.0,60.2,37.1,23.1,23.1,False,democrat,14181595.0,8753788.0,4483810.0,478500.0,61.7,31.6,30.1,30.1,False,democrat,0,14955980,40.1,12409585,44.4,14013618,37.6,9257398,33.1,162247,0.4,125017,0.4,2163754,5.8,1640229,5.9,128574,0.3,96396,0.3,4774993,12.8,3809005,13.6,968684,2.6,561743,2.0,85585,0.2,59022,0.2,55,1.96720877575e-06,87.0,17.0
Colorado,5029148,80800,182640766,36.3,3803539,45.3,2810476,47.0,2935669.0,58.4,41.6,Colorado,us-co,CO,1001732.0,1101255.0,2130330.0,47.0,51.7,-4.7,4.7,True,republican,1288633.0,1073629.0,2401462.0,53.7,44.7,9.0,9.0,False,democrat,1323102.0,1185243.0,"61,177",2569522.0,51.5,46.1,5.4,5.4,False,democrat,2780220.0,1338870.0,1202484.0,144121.0,48.2,43.3,4.9,4.9,False,democrat,1,3520756,70.0,2810476,73.9,1038681,20.7,664456,17.5,31244,0.6,23946,0.6,188775,3.8,138808,3.6,5661,0.1,4104,0.1,135563,2.7,103338,2.7,100846,2.0,53561,1.4,7622,0.2,4850,0.1,9,2.36621735705e-06,104.0,125.0
Connecticut,3574025,80800,138824445,38.8,2757010,47.7,2046482,50.1,885581.0,24.8,75.2,Connecticut,us-ct,CT,857488.0,693826.0,1578769.0,54.3,43.9,10.4,10.4,False,democrat,997772.0,629428.0,1646797.0,60.6,38.2,22.4,22.4,False,democrat,905083.0,634892.0,"18,985",1558960.0,58.1,40.7,17.4,17.4,False,democrat,1644920.0,897572.0,673215.0,48676.0,54.6,40.9,13.7,13.7,False,democrat,0,2546196,71.2,2046482,74.2,479085,13.4,318945,11.6,6885,0.2,5044,0.2,335116,9.4,246013,8.9,958,0.0,729,0.0,134090,3.8,100485,3.6,59505,1.7,30800,1.1,12190,0.3,8512,0.3,7,2.53898244838e-06,112.0,172.0
Delaware,897928,80800,34378150,38.3,692163,47.1,477633,49.5,71957.0,8.0,92.0,Delaware,us-de,DE,200152.0,171660.0,375190.0,53.3,45.8,7.5,7.5,False,democrat,255459.0,152374.0,412412.0,61.9,36.9,25.0,25.0,False,democrat,242584.0,165484.0,"5,853",413921.0,58.6,40.0,18.6,18.6,False,democrat,441590.0,235603.0,185127.0,14757.0,53.4,41.9,11.5,11.5,False,democrat,0,586749,65.3,477633,69.0,73220,8.2,46135,6.7,2824,0.3,2248,0.3,186780,20.8,134982,19.5,238,0.0,177,0.0,28308,3.2,21667,3.1,18284,2.0,8492,1.2,1525,0.2,829,0.1,3,4.33423918932e-06,191.0,686.0
District of Columbia,601707,80800,22161345,36.8,500892,42.6,191932,39.5,672228.0,100.0,0.0,District of Columbia,us-dc,DC,202970.0,21256.0,227586.0,89.2,9.3,79.9,79.9,False,democrat,245800.0,17367.0,265853.0,92.5,6.5,86.0,86.0,False,democrat,267070.0,21381.0,"5,313",293764.0,90.9,7.3,83.6,83.6,False,democrat,311268.0,282830.0,12723.0,4906.0,90.9,4.1,86.8,86.8,False,democrat,0,209463,34.8,191932,38.3,54747,9.1,42706,8.5,1322,0.2,1143,0.2,301040,50.0,235236,47.0,216,0.0,195,0.0,20818,3.5,19221,3.8,12650,2.1,9440,1.9,1451,0.2,1019,0.2,3,5.98931506193e-06,264.0,0.0
Florida,18800986,80800,753954731,40.1,14798895,48.6,9058230,52.0,6724148.0,35.8,64.2,Florida,us-fl,FL,3583544.0,3964522.0,7609810.0,47.1,52.1,-5.0,5.0,True,republican,4282074.0,4045624.0,8390744.0,51.0,48.2,2.8,2.8,False,democrat,4237756.0,4163447.0,"72,976",8474179.0,50.0,49.1,0.9,0.9,False,democrat,9420039.0,4504975.0,4617886.0,207043.0,47.8,49.0,-1.2,1.2,True,republican,2,10884515,57.9,9058230,61.2,4223741,22.5,3119117,21.1,47265,0.3,37078,0.3,2851057,15.2,2033860,13.7,9725,0.1,7536,0.1,445213,2.4,349318,2.4,291008,1.5,163054,1.1,48462,0.3,30702,0.2,29,1.95960576786e-06,86.0,32.0
Georgia,9687540,80800,344669141,35.6,7195988,44.9,4242464,47.6,1711032.0,17.7,82.3,Georgia,us-ga,GA,1366149.0,1914254.0,3301875.0,41.4,58.0,-16.6,16.6,True,republican,1844123.0,2048759.0,3924486.0,47.0,52.2,-5.2,5.2,True,republican,1773827.0,2078688.0,"47,535",3900050.0,45.5,53.3,-7.8,7.8,True,republican,4092373.0,1877963.0,2089104.0,125306.0,45.9,51.0,-5.1,5.1,True,republican,4,5413870,55.9,4242464,59.0,853681,8.8,538994,7.5,21279,0.2,16324,0.2,2910745,30.0,2072891,28.8,5152,0.1,3699,0.1,311692,3.2,234164,3.3,151980,1.6,77345,1.1,19141,0.2,10107,0.1,16,2.2234611842e-06,98.0,66.0
Hawaii,1360279,80800,52426526,38.5,1056461,47.2,269525,47.7,352766.0,25.9,74.1,Hawaii,us-hi,HI,231708.0,194191.0,429013.0,54.0,45.3,8.7,8.7,False,democrat,325871.0,120566.0,453568.0,71.8,26.6,45.2,45.2,False,democrat,306658.0,121015.0,"7,024",434697.0,70.5,27.8,42.7,42.7,False,democrat,428937.0,266891.0,128847.0,15954.0,62.2,30.0,32.2,32.2,False,democrat,0,309338,22.7,269525,25.5,120842,8.9,75574,7.2,2823,0.2,2323,0.2,19904,1.5,15662,1.5,128222,9.4,90694,8.6,513277,37.7,434556,41.1,263985,19.4,166764,15.8,1888,0.1,1363,0.1,4,3.78622589949e-06,167.0,449.0
Idaho,1567568,80800,56084385,35.8,1138496,46.1,986516,47.3,398883.0,25.4,74.6,Idaho,us-id,ID,181098.0,409235.0,598447.0,30.3,68.4,-38.1,38.1,True,republican,236440.0,403012.0,655122.0,36.1,61.5,-25.4,25.4,True,republican,212787.0,420911.0,"18,576",652274.0,32.6,64.5,-31.9,31.9,True,republican,690255.0,189765.0,409055.0,28331.0,27.5,59.3,-31.8,31.8,True,republican,4,1316230,84.0,986516,86.7,175901,11.2,102786,9.0,17555,1.1,12583,1.1,8875,0.6,5658,0.5,2153,0.1,1515,0.1,18529,1.2,14214,1.2,26786,1.7,14298,1.3,1539,0.1,926,0.1,4,3.51340716173e-06,155.0,417.0
Illinois,12830433,80800,474517031,37.0,9701254,46.1,6510409,48.4,4562312.0,35.6,64.4,Illinois,us-il,IL,2891550.0,2345946.0,5274322.0,54.8,44.5,10.3,10.3,False,democrat,3419348.0,2031179.0,5522371.0,61.9,36.8,25.1,25.1,False,democrat,3019512.0,2135216.0,"87,286",5242014.0,57.6,40.7,16.9,16.9,False,democrat,5536424.0,3090729.0,2146015.0,209596.0,55.8,38.8,17.0,17.0,False,democrat,0,8167627,63.7,6510409,67.1,2027567,15.8,1304386,13.4,18849,0.1,14446,0.1,1832873,14.3,1317160,13.6,2977,0.0,2402,0.0,580579,4.5,451401,4.7,183953,1.4,91919,0.9,16008,0.1,9131,0.1,20,2.06158915126e-06,91.0,49.0
Indiana,6483721,80800,240514562,37.1,4875423,46.5,4097259,47.6,1882753.0,29.0,71.0,Indiana,us-in,IN,969011.0,1479438.0,2468002.0,39.3,59.9,-20.6,20.6,True,republican,1374039.0,1345648.0,2751054.0,49.9,48.9,1.0,1.0,False,democrat,1152887.0,1420543.0,"51,104",2624534.0,43.9,54.1,-10.2,10.2,True,republican,2734958.0,1033126.0,1557286.0,133993.0,37.8,56.9,-19.1,19.1,True,republican,3,5286380,81.5,4097259,84.0,389705,6.0,235367,4.8,14165,0.2,10948,0.2,582134,9.0,406999,8.3,1853,0.0,1404,0.0,101444,1.6,76502,1.6,99365,1.5,43679,0.9,8675,0.1,3265,0.1,11,2.25621448641e-06,100.0,97.0
Iowa,3046302,80800,116455656,38.2,2318309,47.6,2107924,48.5,733811.0,24.1,75.9,Iowa,us-ia,IA,741898.0,751957.0,1506908.0,49.2,49.9,-0.7,0.7,True,republican,828940.0,682379.0,1537123.0,53.9,44.4,9.5,9.5,False,democrat,822544.0,730617.0,"29,019",1582180.0,52.0,46.2,5.8,5.8,False,democrat,1566031.0,653669.0,800983.0,59186.0,41.7,51.1,-9.4,9.4,True,republican,2,2701072,88.7,2107924,90.9,151542,5.0,88335,3.8,8581,0.3,6038,0.3,86906,2.9,57064,2.5,1797,0.1,1181,0.1,52597,1.7,39569,1.7,41675,1.4,17141,0.7,2132,0.1,1057,0.0,6,2.58809330421e-06,114.0,205.0
Kansas,2853080,80800,105103279,36.8,2126141,46.5,1732143,48.1,1148274.0,40.2,59.8,Kansas,us-ks,KS,434993.0,736456.0,1187756.0,36.6,62.0,-25.4,25.4,True,republican,514765.0,699655.0,1235872.0,41.7,56.6,-14.9,14.9,True,republican,440726.0,692634.0,"26,611",1159971.0,38.0,59.7,-21.7,21.7,True,republican,1184402.0,427005.0,671018.0,55406.0,36.1,56.7,-20.6,20.6,True,republican,4,2230503,78.2,1732143,81.5,300042,10.5,177942,8.4,23073,0.8,16996,0.8,162698,5.7,116148,5.5,1978,0.1,1389,0.1,66967,2.3,49907,2.3,64891,2.3,30009,1.4,2928,0.1,1607,0.1,6,2.82201415616e-06,125.0,223.0
Kentucky,4339325,80800,163725967,37.7,3315954,46.7,2917487,47.5,929877.0,21.4,78.6,Kentucky,us-ky,KY,712733.0,1069439.0,1795882.0,39.7,59.5,-19.8,19.8,True,republican,751985.0,1048462.0,1826620.0,41.2,57.4,-16.2,16.2,True,republican,679370.0,1087190.0,"30,652",1797212.0,37.8,60.5,-22.7,22.7,True,republican,1924149.0,628854.0,1202971.0,53752.0,32.7,62.5,-29.8,29.8,True,republican,4,3745623,86.3,2917487,88.0,132835,3.1,82886,2.5,8642,0.2,6972,0.2,333068,7.7,241108,7.3,2073,0.0,1430,0.0,48338,1.1,35428,1.1,64113,1.5,28883,0.9,4633,0.1,1760,0.1,8,2.41257870284e-06,106.0,143.0
Louisiana,4533324,80800,165909286,36.6,3415309,45.8,2147646,47.6,1300595.0,28.7,71.3,Louisiana,us-la,LA,820299.0,1102169.0,1943106.0,42.2,56.7,-14.5,14.5,True,republican,782989.0,1148275.0,1960761.0,39.9,58.6,-18.7,18.7,True,republican,809141.0,1152262.0,"32,662",1994065.0,40.6,57.8,-17.2,17.2,True,republican,2029032.0,780154.0,1178638.0,37978.0,38.4,58.1,-19.7,19.7,True,republican,4,2734869,60.3,2147646,62.9,192559,4.2,138090,4.0,28092,0.6,19952,0.6,1442394,31.8,1019556,29.9,1544,0.0,1152,0.0,69326,1.5,53637,1.6,57764,1.3,30753,0.9,6776,0.1,4523,0.1,8,2.34239420211e-06,103.0,139.0
Maine,1328341,80800,53988131,40.6,1053808,48.9,1007006,49.3,66872.0,5.0,95.0,Maine,us-me,ME,396842.0,330201.0,740752.0,53.6,44.6,9.0,9.0,False,democrat,421923.0,295273.0,731163.0,57.7,40.4,17.3,17.3,False,democrat,401306.0,292276.0,"19,598",713180.0,56.3,41.0,15.3,15.3,False,democrat,747927.0,357735.0,335593.0,38105.0,47.8,44.9,2.9,2.9,False,democrat,0,1254280,94.4,1007006,95.6,16934,1.3,10524,1.0,8210,0.6,6079,0.6,15154,1.1,9034,0.9,313,0.0,234,0.0,13442,1.0,9784,0.9,18994,1.4,10544,1.0,1014,0.1,603,0.1,4,3.79575786101e-06,167.0,451.0
Maryland,5773481,80800,216149071,37.4,4420517,46.2,2529464,48.8,1312129.0,22.7,77.3,Maryland,us-md,MD,1334493.0,1024703.0,2386678.0,55.9,42.9,13.0,13.0,False,democrat,1629467.0,959862.0,2631596.0,61.9,36.5,25.4,25.4,False,democrat,1677844.0,971869.0,"57,614",2707327.0,62.0,35.9,26.1,26.1,False,democrat,2781446.0,1677928.0,943169.0,79605.0,60.3,33.9,26.4,26.4,False,democrat,0,3157916,54.7,2529464,57.2,470629,8.2,322305,7.3,13815,0.2,10722,0.2,1674206,29.0,1239773,28.0,2412,0.0,1937,0.0,316693,5.5,245536,5.6,125838,2.2,63852,1.4,11972,0.2,6928,0.2,10,2.26217883564e-06,100.0,107.0
Massachusetts,6547532,80800,252559806,38.6,5128609,46.8,4029373,48.6,2015457.0,30.8,69.2,Massachusetts,us-ma,MA,1803800.0,1071109.0,2912388.0,61.9,36.8,25.1,25.1,False,democrat,1904097.0,1108854.0,3080985.0,61.8,36.0,25.8,25.8,False,democrat,1921290.0,1188314.0,"58,163",3167767.0,60.7,37.5,23.2,23.2,False,democrat,3325046.0,1995196.0,1090893.0,138018.0,60.0,32.8,27.2,27.2,False,democrat,0,4984715,76.1,4029373,78.6,627651,9.6,416772,8.1,10778,0.2,8219,0.2,391690,6.0,288520,5.6,1467,0.0,1189,0.0,347490,5.3,269084,5.2,122194,1.9,69581,1.4,61547,0.9,45871,0.9,11,2.14483108383e-06,95.0,93.0
Michigan,9883479,80800,377166824,38.2,7539411,47.3,5960578,48.5,2203460.0,22.3,77.7,Michigan,us-mi,MI,2479183.0,2313746.0,4839252.0,51.2,47.8,3.4,3.4,False,democrat,2872579.0,2048639.0,5001766.0,57.4,41.0,16.4,16.4,False,democrat,2564569.0,2115256.0,"51,136",4730961.0,54.2,44.7,9.5,9.5,False,democrat,4799284.0,2268839.0,2279543.0,172136.0,47.3,47.5,-0.2,0.2,True,republican,1,7569819,76.6,5960578,79.1,436353,4.4,264506,3.5,54665,0.6,40071,0.5,1383725,14.0,998278,13.2,2170,0.0,1693,0.0,236487,2.4,175248,2.3,190395,1.9,93716,1.2,9865,0.1,5321,0.1,16,2.12218169297e-06,94.0,63.0
Minnesota,5303841,80800,198225448,37.4,4019778,46.6,3462564,48.0,1422403.0,26.8,73.2,Minnesota,us-mn,MN,1445014.0,1346695.0,2828387.0,51.1,47.6,3.5,3.5,False,democrat,1573354.0,1275409.0,2910369.0,54.1,43.8,10.3,10.3,False,democrat,1546167.0,1320225.0,"70,169",2936561.0,52.7,45.0,7.7,7.7,False,democrat,2944813.0,1367716.0,1322951.0,112972.0,46.4,44.9,1.5,1.5,False,democrat,0,4405062,83.1,3462564,86.1,250257,4.7,148835,3.7,55421,1.0,38010,0.9,269139,5.1,174686,4.3,1860,0.0,1351,0.0,212995,4.0,146013,3.6,103160,1.9,45057,1.1,5947,0.1,3262,0.1,10,2.48769956948e-06,110.0,118.0
